raw,saisyou ,seki,hei
,,47288,
,,106783,
,,191463,
,,304412.5,
,,451286,
,,637866,
,,867236.5,
,,1140040,
,,1456276.5,
,,1815946,
,,2219048.5,
,,2665584,
,,3154139,
,,3680216.5,
,,4237391.5,
,,4820908.5,
,,5428968.5,
,,6061058,
,,6716920.5,
,,7396427.5,
,,8099578.5,
,,8826373.5,
,,9576812.5,
,,10351281,
,,11150807,
,,11978474.5,
,,12839809,
,,13740464.5,
,,14683653.5,
,,15670018.5,
,,16699687.5,
,,17772788.5,
,,18889321.5,
,,20049287,
,,21251657.5,
,,22493349.5,
,,23769223.5,
,,25073497,
,,26402700,
,,27755932.5,
,,29133066,
,,30534100.5,
,,31958908,
,,33407360.5,
,,34879457.5,
,,36375327,
,,37895611.5,
,,39442752.5,
,,41022275,
,,42640604,
,,44301466,
,,46005760,
,,47753486.5,
,,49544646,
,,51379238.5,
,,53257264,
,,55178080,
,,57138474,
,,59132535,
,,61154480.5,
,,63201227,
,,65271875,
,,67366167,
,,69484103,
,,71625683,
,,73791035,
,,75980287,
,,78193568,
,,80431649,
,,82696586,
,,84993005,
,,87326817,
,,89702391.5,
,,92121399,
,,94583839.5,
,,97089713,
,,99639019.5,
,,102231631,
,,104866905.5,
,,107541887,
,,110250664,
,,112987454,
,,115749429.5,
,,118535563,
,,121345341.5,
,,124178764.5,
,,127035831.5,
,,129916542.5,
,,132820897.5,
,,135749025,
,,138701439.5,
,,141680068.5,
,,144689922,
,,147737424.5,
,,150826818,
,,153959516.5,
,,157135648,
,,160355212.5,
,,163618210,
,,166924512.5,
,,170273477.5,
,,173663048.5,
,,177088856,
,,180544089,
,,184024121.5,
,,187528055,
,,191055633,
,,194606855,
,,198181721,
,,201780231,
,,205402385,
,,209048440,
,,212719552.5,
,,216419577.5,
,,220156610,
,,223936432.5,
,,227759688,
,,231626376.5,
,,235536498,
,,239490052.5,
,,243487040,
,,247527460.5,
,,251609386.5,
,,255727550,
,,259875526.5,
,,264049204,
,,268247297,
,,272469547.5,
,,276715955.5,
